QuestionID,DifficultyLevel,Question,Answer
51001,1,5*x^2+15*x+1=0,"x=\frac{-15+\sqrt{205}}{10},\:x=\frac{-15-\sqrt{205}}{10}"
51002,1,2*a^2+3*a-2=0,"x=\frac{1}{2},\:x=-2"
51003,1,176-3*x-35*x^2=0,"x=-\frac{16}{7},\:x=\frac{11}{5}"
51004,1,x^2-7*x+15=0,"x=\frac{7}{2}+i\frac{\sqrt{11}}{2},\:x=\frac{7}{2}-i\frac{\sqrt{11}}{2}"
51005,1,3*x^2-2x-4=0,"x=\frac{1+\sqrt{13}}{3},\:x=\frac{1-\sqrt{13}}{3}"
51006,1,2*x^2+7*x+1=0,"x=\frac{-7+\sqrt{41}}{4},\:x=\frac{-7-\sqrt{41}}{4}"
51007,1,5*x^2+5*x+2=0,"x=-\frac{1}{2}+i\frac{\sqrt{15}}{10},\:x=-\frac{1}{2}-i\frac{\sqrt{15}}{10}"
51008,1,(3*x+2)*(4*x-3)-10*x*(x+1)=0,"x=6,\:x=-\frac{1}{2}"
51009,1,(2*x-3)*(3*x+1)-2*x^2+22*x=0,"x=\frac{-15+\sqrt{273}}{8},\:x=\frac{-15-\sqrt{273}}{8}"
52001,2,(3^4)*(3^2),3^6
52002,2,(9^8)*(9^4),9^12
52003,2,(12^5)*(12^7),12^12
52004,2,(x^5)*(x^3),x^8
52005,2,(c^8)*(c^6),c^14
52006,2,(p^4)*(p^9),p^13
52007,2,(2*x^3)*(x^7),2*x^10
52008,2,(m^3)*(5*m^8),5*m^11
52009,2,y*(9*y^{12}),9*y^{13}
52010,2,(3*x^4)*(5*x^3),15x^7
53001,3,"If 15>10 and 10 >p, then 15 ??/ p.",>
53002,3,"If -3>x and x>y, then -3 ??/ y.",>
53003,3,"If a<60 and 60 <b, then a ??/ b.",<
53004,3,"If x+1=y, then x ??/ y.",<
53005,3,"If m-2=n, then m ??/ n.",>
53006,3,"If x>y, then 4*x ??/ 4*y.",>
53007,3,"If x>y, then x/100 ??/ y/100.",>
53008,3,"If x>y, then (-2)*x ??/ (-2)*y.",<
53009,3,"If x>y, then x/(-2) ??/ y/(-2).",<
53010,3,"If p<q and q<0, then p ??/ 0.",<
54001,4,"If the gradient of the line joining the points (-3,-7) and (4,b) is equal to 3/5, find b.",a
54002,4,"Find the value of k if the line joining the points(3k,8) and (k,-3) has a gradient of 3.",a
54003,4,"The points (2,-3), (3,-2) and (8, k) lie on a straight line. Find k.",a
54004,4,"The gradient of the line joining the points (9,a) and (2a,1) is 2/a where a not equal to 0, calculate the possible values of a.",a
54005,4,"The coordinates of P, Q and R are (6, -11), (k, -9) and (2*k, -3) respectively. If grdient of PQ = gradient of PR, find the value of k.",a
54006,4,"The line joining the points A(2,t) and B(7,2*r^2 +7) has a gradient of 2. Find the possible value of t.",a
54007,4,"If the distance between points A(k,0) and B(0,k) is 10, find the possible values of k.",a
54008,4,"The coordinates of two points are A(-2,6) and B(9,3). Find the coordinates of the point C on the x-axi such that AC = BC.",a
54009,4,"Show that the points A(-1,2), B(5,2) and C(2,5) are the vertices of an isosceles triangles. Find the area of ABC.",a
54010,4,"Show that the points A(3,4), B(3,1) and C(8,4) are the vertices of a right-angled triangles. Find the length of the perpendicular from A to BC.",a
